Date,Price,Open,High,Low,Vol.,Change %
"Sep 07, 2015",44.70,45.72,45.92,44.15,-,-2.23%
"Sep 08, 2015",45.94,45.82,46.41,44.14,508.82K,2.77%
"Sep 09, 2015",44.15,45.79,46.26,44.05,422.74K,-3.90%
"Sep 10, 2015",45.92,44.16,46.04,43.36,498.99K,4.01%
"Sep 11, 2015",44.63,45.71,45.88,44.16,395.84K,-2.81%
"Sep 14, 2015",44.00,44.78,44.97,43.59,326.27K,-1.41%
"Sep 15, 2015",44.59,44.11,45.25,43.92,335.95K,1.34%
"Sep 16, 2015",47.15,45.16,47.35,44.82,421.98K,5.74%
"Sep 17, 2015",46.90,47.13,47.71,46.33,366.39K,-0.53%
"Sep 18, 2015",44.68,46.89,47.03,44.24,211.30K,-4.73%
"Sep 21, 2015",46.68,44.97,46.74,44.69,104.53K,4.48%
"Sep 22, 2015",45.83,46.45,46.48,45.14,29.99K,-1.82%
"Sep 23, 2015",44.48,46.54,47.15,44.41,411.96K,-2.95%
"Sep 24, 2015",44.91,44.62,45.18,43.71,371.98K,0.97%
"Sep 25, 2015",45.70,45.05,46.38,44.86,338.62K,1.76%
"Sep 28, 2015",44.43,45.38,45.50,44.30,273.91K,-2.78%
"Sep 29, 2015",45.23,44.50,45.70,44.30,265.18K,1.80%
"Sep 30, 2015",45.09,44.92,45.85,44.68,355.85K,-0.31%
"Oct 01, 2015",44.74,45.38,47.10,44.63,478.98K,-0.78%
"Oct 02, 2015",45.54,45.07,45.81,43.97,420.74K,1.79%
"Oct 05, 2015",46.26,45.65,46.94,45.21,323.06K,1.58%
"Oct 06, 2015",48.53,46.20,49.08,45.73,453.10K,4.91%
"Oct 07, 2015",47.81,49.00,49.71,47.70,547.49K,-1.48%
"Oct 08, 2015",49.43,48.11,50.07,47.76,509.76K,3.39%
"Oct 09, 2015",49.63,49.69,50.92,49.17,508.68K,0.40%
"Oct 12, 2015",47.10,49.51,50.13,47.04,408.66K,-5.10%
"Oct 13, 2015",46.66,47.46,48.43,46.44,465.39K,-0.93%
"Oct 14, 2015",46.64,46.69,46.96,45.94,348.24K,-0.04%
"Oct 15, 2015",46.38,46.28,47.02,45.23,370.94K,-0.56%
"Oct 16, 2015",47.26,46.87,47.50,46.16,198.13K,1.90%
"Oct 19, 2015",45.89,47.27,47.49,45.85,125.84K,-2.90%
"Oct 20, 2015",45.55,46.25,46.52,45.23,38.95K,-0.74%
"Oct 21, 2015",45.20,45.88,46.08,44.86,384.29K,-0.77%
"Oct 22, 2015",45.38,45.27,46.10,44.90,322.74K,0.40%
"Oct 23, 2015",44.60,45.44,45.75,44.20,406.58K,-1.72%
"Oct 26, 2015",43.98,44.74,44.94,43.64,302.08K,-1.39%
"Oct 27, 2015",43.20,43.78,43.91,42.58,370.83K,-1.77%
"Oct 28, 2015",45.94,43.44,46.22,43.06,521.52K,6.34%
"Oct 29, 2015",46.06,46.06,46.79,45.16,436.51K,0.26%
"Oct 30, 2015",46.59,45.74,47.03,45.48,363.31K,1.15%
"Nov 02, 2015",46.14,46.43,46.73,45.56,305.52K,-0.97%
"Nov 03, 2015",47.90,46.11,48.36,45.96,434.57K,3.81%
"Nov 04, 2015",46.32,47.74,48.28,46.17,459.31K,-3.30%
"Nov 05, 2015",45.20,46.57,46.65,45.12,437.65K,-2.42%
"Nov 06, 2015",44.29,45.41,45.64,44.11,448.13K,-2.01%
"Nov 09, 2015",43.87,44.52,45.12,43.64,487.99K,-0.95%
"Nov 10, 2015",44.21,44.10,44.76,43.57,445.97K,0.78%
"Nov 11, 2015",42.93,43.63,44.11,42.62,502.37K,-2.90%
"Nov 12, 2015",41.75,43.05,43.33,41.54,545.35K,-2.75%
"Nov 13, 2015",40.74,41.61,42.21,40.22,480.89K,-2.42%
"Nov 16, 2015",41.74,40.92,42.25,40.06,535.18K,2.45%
"Nov 17, 2015",40.67,41.96,42.03,40.58,363.71K,-2.56%
"Nov 18, 2015",40.75,41.11,41.55,39.91,251.52K,0.20%
"Nov 19, 2015",40.54,40.72,41.05,39.89,131.36K,-0.52%
"Nov 20, 2015",40.39,40.54,40.99,38.99,33.71K,-0.37%
"Nov 23, 2015",41.75,41.49,42.75,40.41,516.19K,3.37%
"Nov 24, 2015",42.87,42.04,43.46,41.86,430.30K,2.68%
"Nov 25, 2015",43.04,42.69,43.25,41.72,383.16K,0.40%
"Nov 26, 2015",42.59,43.08,43.29,42.30,-,-1.05%
"Nov 27, 2015",41.71,43.25,43.30,41.67,316.48K,-2.07%
"Nov 30, 2015",41.65,41.77,42.61,41.50,369.51K,-0.14%
"Dec 01, 2015",41.85,41.73,42.23,41.17,415.54K,0.48%
"Dec 02, 2015",39.94,41.69,41.97,39.84,545.29K,-4.56%
"Dec 03, 2015",41.08,40.15,41.78,40.07,496.88K,2.85%
"Dec 04, 2015",39.97,41.31,42.00,39.60,510.76K,-2.70%
"Dec 07, 2015",37.65,40.10,40.15,37.50,635.41K,-5.80%
"Dec 08, 2015",37.51,37.68,38.58,36.64,767.18K,-0.37%
"Dec 09, 2015",37.16,37.86,38.99,36.87,646.17K,-0.93%
"Dec 10, 2015",36.76,37.27,37.54,36.38,513.94K,-1.08%
"Dec 11, 2015",35.62,36.63,36.84,35.16,505.41K,-3.10%
"Dec 14, 2015",36.31,35.40,36.70,34.53,550.48K,1.94%
"Dec 15, 2015",37.35,36.32,37.88,36.03,474.16K,2.86%
"Dec 16, 2015",35.52,36.79,37.35,35.29,402.97K,-4.90%
"Dec 17, 2015",34.95,35.80,35.84,34.63,196.23K,-1.60%
"Dec 18, 2015",34.73,34.87,35.57,34.29,116.04K,-0.63%
"Dec 21, 2015",34.74,34.58,34.86,33.98,27.29K,0.03%
"Dec 22, 2015",36.14,35.80,36.54,35.66,302.26K,4.03%
"Dec 23, 2015",37.50,36.47,37.95,36.28,374.66K,3.76%
"Dec 24, 2015",38.10,37.86,38.28,37.38,205.87K,1.60%
"Dec 28, 2015",36.81,38.00,38.09,36.60,220.64K,-3.39%
"Dec 29, 2015",37.87,36.70,37.94,36.66,241.95K,2.88%
"Dec 30, 2015",36.60,37.36,37.40,36.40,267.91K,-3.35%
